'Elapsed time','V1'
'hh:mm:ss.mmm','mV'
'0:00.000',-5.635
'0:00.003',-5.635
'0:00.006',-5.635
'0:00.008',-5.635
'0:00.011',-5.635
'0:00.014',-5.635
'0:00.017',-5.635
'0:00.019',-5.635
'0:00.022',-5.605
'0:00.025',-5.620
'0:00.028',-5.635
'0:00.031',-5.670
'0:00.033',-5.710
'0:00.036',-5.755
'0:00.039',-5.770
'0:00.042',-5.785
'0:00.044',-5.760
'0:00.047',-5.745
'0:00.050',-5.735
'0:00.053',-5.735
'0:00.056',-5.735
'0:00.058',-5.770
'0:00.061',-5.795
'0:00.064',-5.800
'0:00.067',-5.810
'0:00.069',-5.825
'0:00.072',-5.805
'0:00.075',-5.805
'0:00.078',-5.795
'0:00.081',-5.760
'0:00.083',-5.760
'0:00.086',-5.765
'0:00.089',-5.750
'0:00.092',-5.750
'0:00.094',-5.760
'0:00.097',-5.760
'0:00.100',-5.785
'0:00.103',-5.795
'0:00.106',-5.810
'0:00.108',-5.800
'0:00.111',-5.810
'0:00.114',-5.800
'0:00.117',-5.805
'0:00.119',-5.815
'0:00.122',-5.820
'0:00.125',-5.825
'0:00.128',-5.815
'0:00.131',-5.800
'0:00.133',-5.805
'0:00.136',-5.770
'0:00.139',-5.775
'0:00.142',-5.780
'0:00.144',-5.820
'0:00.147',-5.840
'0:00.150',-5.885
'0:00.153',-5.965
'0:00.156',-6.050
'0:00.158',-6.155
'0:00.161',-6.295
'0:00.164',-6.450
'0:00.167',-6.605
'0:00.169',-6.730
'0:00.172',-6.790
'0:00.175',-6.730
'0:00.178',-6.620
'0:00.181',-6.445
'0:00.183',-6.295
'0:00.186',-6.160
'0:00.189',-6.030
'0:00.192',-5.875
'0:00.194',-5.630
'0:00.197',-5.315
'0:00.200',-5.010
'0:00.203',-4.780
'0:00.206',-4.715
'0:00.208',-4.820
'0:00.211',-5.050
'0:00.214',-5.330
'0:00.217',-5.565
'0:00.219',-5.730
'0:00.222',-5.815
'0:00.225',-5.860
'0:00.228',-5.895
'0:00.231',-5.920
'0:00.233',-5.975
'0:00.236',-6.045
'0:00.239',-6.105
'0:00.242',-6.125
'0:00.244',-6.130
'0:00.247',-6.090
'0:00.250',-6.070
'0:00.253',-6.085
'0:00.256',-6.070
'0:00.258',-6.080
'0:00.261',-6.050
'0:00.264',-6.040
'0:00.267',-5.995
'0:00.269',-5.960
'0:00.272',-5.880
'0:00.275',-5.820
'0:00.278',-5.765
'0:00.281',-5.720
'0:00.283',-5.685
'0:00.286',-5.685
'0:00.289',-5.705
'0:00.292',-5.725
'0:00.294',-5.740
'0:00.297',-5.730
'0:00.300',-5.715
'0:00.303',-5.705
'0:00.306',-5.720
'0:00.308',-5.755
'0:00.311',-5.790
'0:00.314',-5.830
'0:00.317',-5.825
'0:00.319',-5.840
'0:00.322',-5.825
'0:00.325',-5.840
'0:00.328',-5.875
'0:00.331',-5.895
'0:00.333',-5.905
'0:00.336',-5.920
'0:00.339',-5.905
'0:00.342',-5.890
'0:00.344',-5.895
'0:00.347',-5.905
'0:00.350',-5.950
'0:00.353',-6.005
'0:00.356',-6.055
'0:00.358',-6.090
'0:00.361',-6.115
'0:00.364',-6.110
'0:00.367',-6.110
'0:00.369',-6.095
'0:00.372',-6.085
'0:00.375',-6.080
'0:00.378',-6.080
'0:00.381',-6.090
'0:00.383',-6.105
'0:00.386',-6.120
'0:00.389',-6.170
'0:00.392',-6.160
'0:00.394',-6.180
'0:00.397',-6.175
'0:00.400',-6.165
'0:00.403',-6.185
'0:00.406',-6.175
'0:00.408',-6.170
'0:00.411',-6.175
'0:00.414',-6.200
'0:00.417',-6.245
'0:00.419',-6.265
'0:00.422',-6.285
'0:00.425',-6.280
'0:00.428',-6.270
'0:00.431',-6.260
'0:00.433',-6.270
'0:00.436',-6.280
'0:00.439',-6.240
'0:00.442',-6.215
'0:00.444',-6.195
'0:00.447',-6.150
'0:00.450',-6.105
'0:00.453',-6.095
'0:00.456',-6.085
'0:00.458',-6.080
'0:00.461',-6.095
'0:00.464',-6.095
'0:00.467',-6.100
'0:00.469',-6.100
'0:00.472',-6.095
'0:00.475',-6.085
'0:00.478',-6.075
'0:00.481',-6.055
'0:00.483',-6.050
'0:00.486',-6.045
'0:00.489',-6.050
'0:00.492',-6.045
'0:00.494',-6.020
'0:00.497',-6.005
'0:00.500',-5.980
'0:00.503',-5.965
'0:00.506',-5.945
'0:00.508',-5.930
'0:00.511',-5.940
'0:00.514',-5.950
'0:00.517',-5.950
'0:00.519',-5.950
'0:00.522',-5.950
'0:00.525',-5.940
'0:00.528',-5.910
'0:00.531',-5.885
'0:00.533',-5.845
'0:00.536',-5.840
'0:00.539',-5.820
'0:00.542',-5.810
'0:00.544',-5.810
'0:00.547',-5.820
'0:00.550',-5.820
'0:00.553',-5.825
'0:00.556',-5.825
'0:00.558',-5.815
'0:00.561',-5.800
'0:00.564',-5.790
'0:00.567',-5.790
'0:00.569',-5.780
'0:00.572',-5.775
'0:00.575',-5.755
'0:00.578',-5.755
'0:00.581',-5.745
'0:00.583',-5.785
'0:00.586',-5.795
'0:00.589',-5.795
'0:00.592',-5.780
'0:00.594',-5.785
'0:00.597',-5.770
'0:00.600',-5.785
'0:00.603',-5.815
'0:00.606',-5.805
'0:00.608',-5.800
'0:00.611',-5.815
'0:00.614',-5.820
'0:00.617',-5.805
'0:00.619',-5.800
'0:00.622',-5.790
'0:00.625',-5.790
'0:00.628',-5.780
'0:00.631',-5.790
'0:00.633',-5.795
'0:00.636',-5.805
'0:00.639',-5.795
'0:00.642',-5.760
'0:00.644',-5.735
'0:00.647',-5.735
'0:00.650',-5.730
'0:00.653',-5.765
'0:00.656',-5.800
'0:00.658',-5.865
'0:00.661',-5.870
'0:00.664',-5.885
'0:00.667',-5.865
'0:00.669',-5.830
'0:00.672',-5.800
'0:00.675',-5.795
'0:00.678',-5.780
'0:00.681',-5.810
'0:00.683',-5.830
'0:00.686',-5.850
'0:00.689',-5.850
'0:00.692',-5.850
'0:00.694',-5.825
'0:00.697',-5.805
'0:00.700',-5.800
'0:00.703',-5.790
'0:00.706',-5.825
'0:00.708',-5.840
'0:00.711',-5.840
'0:00.714',-5.850
'0:00.717',-5.825
'0:00.719',-5.825
'0:00.722',-5.810
'0:00.725',-5.815
'0:00.728',-5.840
'0:00.731',-5.860
'0:00.733',-5.860
'0:00.736',-5.875
'0:00.739',-5.880
'0:00.742',-5.850
'0:00.744',-5.840
'0:00.747',-5.825
'0:00.750',-5.850
'0:00.753',-5.870
'0:00.756',-5.865
'0:00.758',-5.855
'0:00.761',-5.845
'0:00.764',-5.850
'0:00.767',-5.855
'0:00.769',-5.865
'0:00.772',-5.865
'0:00.775',-5.870
'0:00.778',-5.865
'0:00.781',-5.855
'0:00.783',-5.855
'0:00.786',-5.855
'0:00.789',-5.855
'0:00.792',-5.875
'0:00.794',-5.880
'0:00.797',-5.870
'0:00.800',-5.870
'0:00.803',-5.905
'0:00.806',-5.945
'0:00.808',-5.985
'0:00.811',-5.985
'0:00.814',-5.985
'0:00.817',-5.920
'0:00.819',-5.860
'0:00.822',-5.815
'0:00.825',-5.810
'0:00.828',-5.805
'0:00.831',-5.835
'0:00.833',-5.890
'0:00.836',-5.930
'0:00.839',-5.940
'0:00.842',-5.880
'0:00.844',-5.815
'0:00.847',-5.745
'0:00.850',-5.710
'0:00.853',-5.710
'0:00.856',-5.725
'0:00.858',-5.725
'0:00.861',-5.750
'0:00.864',-5.765
'0:00.867',-5.800
'0:00.869',-5.830
'0:00.872',-5.865
'0:00.875',-5.895
'0:00.878',-5.925
'0:00.881',-5.935
'0:00.883',-5.895
'0:00.886',-5.885
'0:00.889',-5.870
'0:00.892',-5.870
'0:00.894',-5.885
'0:00.897',-5.905
'0:00.900',-5.920
'0:00.903',-5.915
'0:00.906',-5.895
'0:00.908',-5.885
'0:00.911',-5.865
'0:00.914',-5.870
'0:00.917',-5.885
'0:00.919',-5.885
'0:00.922',-5.885
'0:00.925',-5.875
'0:00.928',-5.865
'0:00.931',-5.855
'0:00.933',-5.845
'0:00.936',-5.840
'0:00.939',-5.830
'0:00.942',-5.820
'0:00.944',-5.825
'0:00.947',-5.805
'0:00.950',-5.810
'0:00.953',-5.835
'0:00.956',-5.865
'0:00.958',-5.895
'0:00.961',-5.885
'0:00.964',-5.885
'0:00.967',-5.830
'0:00.969',-5.805
'0:00.972',-5.805
'0:00.975',-5.850
'0:00.978',-5.920
'0:00.981',-5.980
'0:00.983',-6.020
'0:00.986',-6.075
'0:00.989',-6.120
'0:00.992',-6.190
'0:00.994',-6.290
'0:00.997',-6.455
'0:01.000',-6.620
'0:01.003',-6.795
'0:01.006',-6.925
'0:01.008',-6.935
'0:01.011',-6.870
'0:01.014',-6.700
'0:01.017',-6.490
'0:01.019',-6.245
'0:01.022',-6.040
'0:01.025',-5.790
'0:01.028',-5.530
'0:01.031',-5.235
'0:01.033',-4.915
'0:01.036',-4.680
'0:01.039',-4.535
'0:01.042',-4.530
'0:01.044',-4.700
'0:01.047',-4.940
'0:01.050',-5.165
'0:01.053',-5.350
'0:01.056',-5.485
'0:01.058',-5.515
'0:01.061',-5.580
'0:01.064',-5.640
'0:01.067',-5.685
'0:01.069',-5.750
'0:01.072',-5.795
'0:01.075',-5.800
'0:01.078',-5.795
'0:01.081',-5.770
'0:01.083',-5.745
'0:01.086',-5.765
'0:01.089',-5.815
'0:01.092',-5.855
'0:01.094',-5.890
'0:01.097',-5.925
'0:01.100',-5.940
'0:01.103',-5.920
'0:01.106',-5.865
'0:01.108',-5.780
'0:01.111',-5.740
'0:01.114',-5.720
'0:01.117',-5.725
'0:01.119',-5.740
'0:01.122',-5.745
'0:01.125',-5.725
'0:01.128',-5.740
'0:01.131',-5.725
'0:01.133',-5.720
'0:01.136',-5.690
'0:01.139',-5.670
'0:01.142',-5.670
'0:01.144',-5.675
'0:01.147',-5.685
'0:01.150',-5.665
'0:01.153',-5.680
'0:01.156',-5.695
'0:01.158',-5.725
'0:01.161',-5.745
'0:01.164',-5.780
'0:01.167',-5.795
'0:01.169',-5.795
'0:01.172',-5.800
'0:01.175',-5.785
'0:01.178',-5.775
'0:01.181',-5.775
'0:01.183',-5.775
'0:01.186',-5.775
'0:01.189',-5.800
'0:01.192',-5.825
'0:01.194',-5.855
'0:01.197',-5.885
'0:01.200',-5.895
'0:01.203',-5.895
'0:01.206',-5.895
'0:01.208',-5.880
'0:01.211',-5.900
'0:01.214',-5.920
'0:01.217',-5.910
'0:01.219',-5.940
'0:01.222',-5.965
'0:01.225',-5.990
'0:01.228',-6.020
'0:01.231',-6.020
'0:01.233',-6.020
'0:01.236',-6.005
'0:01.239',-6.005
'0:01.242',-6.015
'0:01.244',-6.005
'0:01.247',-6.025
'0:01.250',-6.030
'0:01.253',-6.055
'0:01.256',-6.100
'0:01.258',-6.130
'0:01.261',-6.135
'0:01.264',-6.115
'0:01.267',-6.100
'0:01.269',-6.080
'0:01.272',-6.095
'0:01.275',-6.110
'0:01.278',-6.160
'0:01.281',-6.180
'0:01.283',-6.170
'0:01.286',-6.125
'0:01.289',-6.110
'0:01.292',-6.110
'0:01.294',-6.120
'0:01.297',-6.160
'0:01.300',-6.180
'0:01.303',-6.185
'0:01.306',-6.140
'0:01.308',-6.070
'0:01.311',-6.025
'0:01.314',-5.990
'0:01.317',-5.980
'0:01.319',-6.000
'0:01.322',-6.045
'0:01.325',-6.055
'0:01.328',-6.065
'0:01.331',-6.060
'0:01.333',-6.025
'0:01.336',-5.995
'0:01.339',-5.965
'0:01.342',-5.940
'0:01.344',-5.930
'0:01.347',-5.890
'0:01.350',-5.865
'0:01.353',-5.835
'0:01.356',-5.825
'0:01.358',-5.805
'0:01.361',-5.815
'0:01.364',-5.840
'0:01.367',-5.855
'0:01.369',-5.855
'0:01.372',-5.850
'0:01.375',-5.840
'0:01.378',-5.810
'0:01.381',-5.805
'0:01.383',-5.765
'0:01.386',-5.765
'0:01.389',-5.760
'0:01.392',-5.770
'0:01.394',-5.770
'0:01.397',-5.770
'0:01.400',-5.775
'0:01.403',-5.770
'0:01.406',-5.790
'0:01.408',-5.785
'0:01.411',-5.775
'0:01.414',-5.770
'0:01.417',-5.760
'0:01.419',-5.755
'0:01.422',-5.740
'0:01.425',-5.735
'0:01.428',-5.725
'0:01.431',-5.720
'0:01.433',-5.715
'0:01.436',-5.705
'0:01.439',-5.735
'0:01.442',-5.730
'0:01.444',-5.750
'0:01.447',-5.745
'0:01.450',-5.780
'0:01.453',-5.775
'0:01.456',-5.780
'0:01.458',-5.770
'0:01.461',-5.800
'0:01.464',-5.810
'0:01.467',-5.800
'0:01.469',-5.810
'0:01.472',-5.805
'0:01.475',-5.800
'0:01.478',-5.790
'0:01.481',-5.785
'0:01.483',-5.765
'0:01.486',-5.770
'0:01.489',-5.765
'0:01.492',-5.785
'0:01.494',-5.795
'0:01.497',-5.785
'0:01.500',-5.790
'0:01.503',-5.775
'0:01.506',-5.755
'0:01.508',-5.740
'0:01.511',-5.715
'0:01.514',-5.715
'0:01.517',-5.750
'0:01.519',-5.755
'0:01.522',-5.780
'0:01.525',-5.775
'0:01.528',-5.780
'0:01.531',-5.765
'0:01.533',-5.760
