'Elapsed time','V1'
'hh:mm:ss.mmm','mV'
'0:00.000',-5.590
'0:00.003',-5.590
'0:00.006',-5.590
'0:00.008',-5.590
'0:00.011',-5.590
'0:00.014',-5.590
'0:00.017',-5.590
'0:00.019',-5.590
'0:00.022',-5.575
'0:00.025',-5.570
'0:00.028',-5.565
'0:00.031',-5.530
'0:00.033',-5.545
'0:00.036',-5.535
'0:00.039',-5.540
'0:00.042',-5.545
'0:00.044',-5.565
'0:00.047',-5.570
'0:00.050',-5.575
'0:00.053',-5.565
'0:00.056',-5.545
'0:00.058',-5.525
'0:00.061',-5.520
'0:00.064',-5.505
'0:00.067',-5.500
'0:00.069',-5.505
'0:00.072',-5.505
'0:00.075',-5.525
'0:00.078',-5.520
'0:00.081',-5.535
'0:00.083',-5.530
'0:00.086',-5.525
'0:00.089',-5.520
'0:00.092',-5.500
'0:00.094',-5.510
'0:00.097',-5.490
'0:00.100',-5.495
'0:00.103',-5.505
'0:00.106',-5.515
'0:00.108',-5.535
'0:00.111',-5.540
'0:00.114',-5.530
'0:00.117',-5.535
'0:00.119',-5.540
'0:00.122',-5.530
'0:00.125',-5.490
'0:00.128',-5.485
'0:00.131',-5.470
'0:00.133',-5.490
'0:00.136',-5.490
'0:00.139',-5.505
'0:00.142',-5.500
'0:00.144',-5.510
'0:00.147',-5.505
'0:00.150',-5.525
'0:00.153',-5.500
'0:00.156',-5.505
'0:00.158',-5.490
'0:00.161',-5.490
'0:00.164',-5.480
'0:00.167',-5.500
'0:00.169',-5.505
'0:00.172',-5.505
'0:00.175',-5.500
'0:00.178',-5.530
'0:00.181',-5.505
'0:00.183',-5.495
'0:00.186',-5.510
'0:00.189',-5.485
'0:00.192',-5.470
'0:00.194',-5.470
'0:00.197',-5.445
'0:00.200',-5.455
'0:00.203',-5.450
'0:00.206',-5.475
'0:00.208',-5.485
'0:00.211',-5.485
'0:00.214',-5.485
'0:00.217',-5.495
'0:00.219',-5.505
'0:00.222',-5.500
'0:00.225',-5.485
'0:00.228',-5.470
'0:00.231',-5.475
'0:00.233',-5.480
'0:00.236',-5.480
'0:00.239',-5.490
'0:00.242',-5.520
'0:00.244',-5.525
'0:00.247',-5.520
'0:00.250',-5.530
'0:00.253',-5.520
'0:00.256',-5.520
'0:00.258',-5.500
'0:00.261',-5.500
'0:00.264',-5.485
'0:00.267',-5.480
'0:00.269',-5.505
'0:00.272',-5.515
'0:00.275',-5.525
'0:00.278',-5.535
'0:00.281',-5.530
'0:00.283',-5.530
'0:00.286',-5.525
'0:00.289',-5.500
'0:00.292',-5.500
'0:00.294',-5.495
'0:00.297',-5.505
'0:00.300',-5.490
'0:00.303',-5.480
'0:00.306',-5.490
'0:00.308',-5.485
'0:00.311',-5.520
'0:00.314',-5.520
'0:00.317',-5.520
'0:00.319',-5.510
'0:00.322',-5.490
'0:00.325',-5.495
'0:00.328',-5.485
'0:00.331',-5.490
'0:00.333',-5.505
'0:00.336',-5.505
'0:00.339',-5.505
'0:00.342',-5.515
'0:00.344',-5.525
'0:00.347',-5.550
'0:00.350',-5.545
'0:00.353',-5.550
'0:00.356',-5.535
'0:00.358',-5.525
'0:00.361',-5.525
'0:00.364',-5.515
'0:00.367',-5.515
'0:00.369',-5.515
'0:00.372',-5.525
'0:00.375',-5.535
'0:00.378',-5.540
'0:00.381',-5.555
'0:00.383',-5.545
'0:00.386',-5.530
'0:00.389',-5.535
'0:00.392',-5.530
'0:00.394',-5.500
'0:00.397',-5.495
'0:00.400',-5.515
'0:00.403',-5.510
'0:00.406',-5.520
'0:00.408',-5.525
'0:00.411',-5.535
'0:00.414',-5.535
'0:00.417',-5.550
'0:00.419',-5.550
'0:00.422',-5.535
'0:00.425',-5.540
'0:00.428',-5.525
'0:00.431',-5.510
'0:00.433',-5.525
'0:00.436',-5.510
'0:00.439',-5.515
'0:00.442',-5.525
'0:00.444',-5.540
'0:00.447',-5.540
'0:00.450',-5.550
'0:00.453',-5.555
'0:00.456',-5.545
'0:00.458',-5.530
'0:00.461',-5.535
'0:00.464',-5.520
'0:00.467',-5.535
'0:00.469',-5.540
'0:00.472',-5.545
'0:00.475',-5.545
'0:00.478',-5.545
'0:00.481',-5.560
'0:00.483',-5.565
'0:00.486',-5.570
'0:00.489',-5.550
'0:00.492',-5.555
'0:00.494',-5.530
'0:00.497',-5.525
'0:00.500',-5.520
'0:00.503',-5.525
'0:00.506',-5.530
'0:00.508',-5.540
'0:00.511',-5.555
'0:00.514',-5.545
'0:00.517',-5.550
'0:00.519',-5.550
'0:00.522',-5.545
'0:00.525',-5.550
'0:00.528',-5.535
'0:00.531',-5.530
'0:00.533',-5.525
'0:00.536',-5.540
'0:00.539',-5.545
'0:00.542',-5.565
'0:00.544',-5.570
'0:00.547',-5.575
'0:00.550',-5.570
'0:00.553',-5.550
'0:00.556',-5.545
'0:00.558',-5.545
'0:00.561',-5.510
'0:00.564',-5.510
'0:00.567',-5.520
'0:00.569',-5.530
'0:00.572',-5.530
'0:00.575',-5.550
'0:00.578',-5.565
'0:00.581',-5.560
'0:00.583',-5.570
'0:00.586',-5.565
'0:00.589',-5.565
'0:00.592',-5.545
'0:00.594',-5.545
'0:00.597',-5.540
'0:00.600',-5.545
'0:00.603',-5.530
'0:00.606',-5.545
'0:00.608',-5.560
'0:00.611',-5.565
'0:00.614',-5.570
'0:00.617',-5.580
'0:00.619',-5.570
'0:00.622',-5.550
'0:00.625',-5.535
'0:00.628',-5.540
'0:00.631',-5.515
'0:00.633',-5.535
'0:00.636',-5.530
'0:00.639',-5.545
'0:00.642',-5.555
'0:00.644',-5.545
'0:00.647',-5.565
'0:00.650',-5.565
'0:00.653',-5.545
'0:00.656',-5.535
'0:00.658',-5.520
'0:00.661',-5.515
'0:00.664',-5.485
'0:00.667',-5.490
'0:00.669',-5.485
'0:00.672',-5.490
'0:00.675',-5.490
'0:00.678',-5.490
'0:00.681',-5.460
'0:00.683',-5.475
'0:00.686',-5.460
'0:00.689',-5.465
'0:00.692',-5.445
'0:00.694',-5.470
'0:00.697',-5.465
'0:00.700',-5.510
'0:00.703',-5.530
'0:00.706',-5.570
'0:00.708',-5.585
'0:00.711',-5.590
'0:00.714',-5.585
'0:00.717',-5.600
'0:00.719',-5.600
'0:00.722',-5.600
'0:00.725',-5.600
'0:00.728',-5.575
'0:00.731',-5.575
'0:00.733',-5.575
'0:00.736',-5.560
'0:00.739',-5.575
'0:00.742',-5.590
'0:00.744',-5.585
'0:00.747',-5.595
'0:00.750',-5.610
'0:00.753',-5.600
'0:00.756',-5.600
'0:00.758',-5.595
'0:00.761',-5.585
'0:00.764',-5.570
'0:00.767',-5.595
'0:00.769',-5.580
'0:00.772',-5.590
'0:00.775',-5.615
'0:00.778',-5.600
'0:00.781',-5.610
'0:00.783',-5.625
'0:00.786',-5.620
'0:00.789',-5.625
'0:00.792',-5.610
'0:00.794',-5.605
'0:00.797',-5.585
'0:00.800',-5.570
'0:00.803',-5.580
'0:00.806',-5.590
'0:00.808',-5.580
'0:00.811',-5.595
'0:00.814',-5.605
'0:00.817',-5.595
'0:00.819',-5.590
'0:00.822',-5.575
'0:00.825',-5.545
'0:00.828',-5.520
'0:00.831',-5.455
'0:00.833',-5.395
'0:00.836',-5.365
'0:00.839',-5.345
'0:00.842',-5.380
'0:00.844',-5.475
'0:00.847',-5.620
'0:00.850',-5.795
'0:00.853',-6.025
'0:00.856',-6.245
'0:00.858',-6.455
'0:00.861',-6.595
'0:00.864',-6.650
'0:00.867',-6.665
'0:00.869',-6.625
'0:00.872',-6.565
'0:00.875',-6.505
'0:00.878',-6.410
'0:00.881',-6.315
'0:00.883',-6.210
'0:00.886',-6.110
'0:00.889',-6.010
'0:00.892',-5.910
'0:00.894',-5.840
'0:00.897',-5.770
'0:00.900',-5.715
'0:00.903',-5.680
'0:00.906',-5.630
'0:00.908',-5.615
'0:00.911',-5.615
'0:00.914',-5.610
'0:00.917',-5.605
'0:00.919',-5.590
'0:00.922',-5.575
'0:00.925',-5.565
'0:00.928',-5.540
'0:00.931',-5.525
'0:00.933',-5.520
'0:00.936',-5.515
'0:00.939',-5.520
'0:00.942',-5.520
'0:00.944',-5.530
'0:00.947',-5.530
'0:00.950',-5.545
'0:00.953',-5.525
'0:00.956',-5.525
'0:00.958',-5.525
'0:00.961',-5.505
'0:00.964',-5.505
'0:00.967',-5.510
'0:00.969',-5.505
'0:00.972',-5.510
'0:00.975',-5.515
'0:00.978',-5.525
'0:00.981',-5.520
'0:00.983',-5.530
'0:00.986',-5.530
'0:00.989',-5.510
'0:00.992',-5.500
'0:00.994',-5.490
'0:00.997',-5.470
'0:01.000',-5.475
'0:01.003',-5.470
'0:01.006',-5.475
'0:01.008',-5.485
'0:01.011',-5.500
'0:01.014',-5.500
'0:01.017',-5.520
'0:01.019',-5.510
'0:01.022',-5.510
'0:01.025',-5.505
'0:01.028',-5.480
'0:01.031',-5.475
'0:01.033',-5.485
'0:01.036',-5.495
'0:01.039',-5.505
'0:01.042',-5.515
'0:01.044',-5.515
'0:01.047',-5.530
'0:01.050',-5.515
'0:01.053',-5.525
'0:01.056',-5.495
'0:01.058',-5.480
'0:01.061',-5.480
'0:01.064',-5.455
'0:01.067',-5.455
'0:01.069',-5.465
'0:01.072',-5.480
'0:01.075',-5.475
'0:01.078',-5.475
'0:01.081',-5.480
'0:01.083',-5.470
'0:01.086',-5.465
'0:01.089',-5.440
'0:01.092',-5.465
'0:01.094',-5.445
'0:01.097',-5.440
'0:01.100',-5.435
'0:01.103',-5.445
'0:01.106',-5.450
'0:01.108',-5.455
'0:01.111',-5.445
'0:01.114',-5.455
'0:01.117',-5.475
'0:01.119',-5.460
'0:01.122',-5.440
'0:01.125',-5.445
'0:01.128',-5.435
'0:01.131',-5.430
'0:01.133',-5.440
'0:01.136',-5.425
'0:01.139',-5.460
'0:01.142',-5.465
'0:01.144',-5.475
'0:01.147',-5.485
'0:01.150',-5.485
'0:01.153',-5.500
'0:01.156',-5.490
'0:01.158',-5.480
'0:01.161',-5.480
'0:01.164',-5.465
'0:01.167',-5.485
'0:01.169',-5.490
'0:01.172',-5.485
'0:01.175',-5.490
'0:01.178',-5.495
'0:01.181',-5.500
'0:01.183',-5.495
'0:01.186',-5.480
'0:01.189',-5.485
'0:01.192',-5.470
'0:01.194',-5.450
'0:01.197',-5.460
'0:01.200',-5.445
